cod_comuna,comuna,poblacion,conteo_establecimientos_salud,conteo_establecimientos_educacion,conteo_establecimientos_educacion_superior,conteo_osm_supermercados,conteo_osm_almacenes_barrio,conteo_osm_bancos,conteo_ferias_libres,conteo_areas_verdes,conteo_paradas_micro,conteo_paradas_metro_tren,tasa_establecimientos_salud_x10k,tasa_establecimientos_educacion_x10k,tasa_establecimientos_educacion_superior_x10k,tasa_osm_supermercados_x10k,tasa_osm_almacenes_barrio_x10k,tasa_osm_bancos_x10k,tasa_ferias_libres_x10k,tasa_areas_verdes_x10k,tasa_paradas_micro_x10k,tasa_paradas_metro_tren_x10k
13502,Alhué,7768,6,5,0,0,0,0,0,1,0,0,7.72399588053553,6.436663233779609,0.0,0.0,0.0,0.0,0.0,1.2873326467559216,0.0,0.0
13402,Buin,116969,21,49,3,0,0,0,3,147,0,3,1.7953474852311295,4.189144132205969,0.25647821217587563,0.0,0.0,0.0,0.25647821217587563,12.567432396617907,0.0,0.25647821217587563
13403,Calera de Tango,25491,4,14,0,5,6,2,4,27,2,0,1.5691812796673335,5.492134478835667,0.0,1.961476599584167,2.3537719195010003,0.7845906398336667,1.5691812796673335,10.591973637754501,0.7845906398336667,0.0
13102,Cerrillos,85041,10,33,2,8,24,10,6,208,280,0,1.1759033877776601,3.8804811796662784,0.23518067755553204,0.9407227102221282,2.8221681306663844,1.1759033877776601,0.7055420326665961,24.458790465775333,32.92529485777448,0.0
13103,Cerro Navia,127250,10,49,0,2,36,2,10,225,261,0,0.7858546168958742,3.850687622789784,0.0,0.15717092337917485,2.8290766208251474,0.15717092337917485,0.7858546168958742,17.68172888015717,20.51080550098232,0.0
13301,Colina,173293,17,69,1,2,12,3,3,29,0,0,0.9809975013416584,3.981695740739672,0.057705735373038726,0.11541147074607745,0.6924688244764647,0.17311720611911618,0.17311720611911618,1.673466325818123,0.0,0.0
13104,Conchalí,121587,13,59,1,10,10,7,11,458,323,0,1.06919325256812,4.852492453963006,0.0822456348129323,0.8224563481293231,0.8224563481293231,0.5757194436905261,0.9047019829422552,37.668500744323,26.565340044577137,0.0
13503,Curacaví,35165,3,20,0,4,3,1,2,43,0,0,0.8531210009953079,5.687473339968719,0.0,1.1374946679937439,0.8531210009953079,0.28437366699843597,0.5687473339968719,12.228067680932746,0.0,0.0
13105,El Bosque,155257,15,92,1,6,53,5,10,48,271,2,0.9661400130106855,5.925658746465538,0.06440933420071236,0.3864560052042742,3.4136947126377555,0.3220466710035618,0.6440933420071236,3.0916480416341936,17.45492956839305,0.12881866840142472
13602,El Monte,37497,3,24,0,2,0,0,0,34,0,0,0.8000640051204096,6.400512040963277,0.0,0.5333760034136065,0.0,0.0,0.0,9.06739205803131,0.0,0.0
13106,Estación Central,181049,17,59,26,11,48,11,11,280,339,2,0.9389723224099553,3.258786295422786,1.4360753166269904,0.6075703262652652,2.6512159691575206,0.6075703262652652,0.6075703262652652,15.465426486752204,18.72421278217499,0.11046733204823005
13107,Huechuraba,101808,13,27,3,8,45,12,3,56,208,0,1.276913405626277,2.652050919377652,0.29467232437529467,0.7857928650007858,4.42008486562942,1.1786892975011787,0.29467232437529467,5.5005500550055,20.43061449002043,0.0
13108,Independencia,116943,23,37,8,10,25,4,6,75,160,0,1.9667701358781629,3.1639345664126965,0.684093960305448,0.85511745038181,2.137793625954525,0.342046980152724,0.513070470229086,6.413380877863575,13.68187920610896,0.0
13603,Isla de Maipo,39274,9,17,0,0,0,0,6,14,0,0,2.2915924020980802,4.328563426185262,0.0,0.0,0.0,0.0,1.5277282680653868,3.5646992921525693,0.0,0.0
13109,La Cisterna,103157,9,65,0,6,27,8,6,39,248,0,0.8724565468169877,6.301075060344911,0.0,0.5816376978779918,2.617369640450963,0.7755169305039891,0.5816376978779918,3.780645036206947,24.04102484562366,0.0
13110,La Florida,374836,42,183,8,30,118,27,28,428,790,0,1.120490027638754,4.882135120426,0.21342667193119125,0.8003500197419672,3.148043410985071,0.7203150177677704,0.7469933517591694,11.418326948318732,21.075883853205134,0.0
13111,La Granja,112022,10,54,0,7,33,2,11,394,253,0,0.89268179464748,4.820481691096392,0.0,0.624877256253236,2.9458499223366843,0.17853635892949601,0.9819499741122278,35.171662709110706,22.584849404581245,0.0
13112,La Pintana,175421,16,70,4,3,50,2,12,535,380,0,0.9120914827757224,3.9904002371437852,0.2280228706939306,0.17101715302044793,2.8502858836741325,0.1140114353469653,0.6840686120817917,30.49805895531322,21.662172715923408,0.0
13113,La Reina,89870,17,42,1,9,28,17,4,87,271,0,1.8916212306665183,4.673417158117281,0.11127183709803048,1.0014465338822744,3.1156114387448537,1.8916212306665183,0.44508734839212194,9.680649827528653,30.154667853566263,0.0
13302,Lampa,145160,9,57,0,3,9,3,5,23,58,0,0.6200055111600992,3.9267015706806285,0.0,0.2066685037200331,0.6200055111600992,0.2066685037200331,0.34444750620005515,1.5844585285202537,3.9955910719206393,0.0
13114,Las Condes,296134,56,60,25,29,126,120,4,310,491,0,1.8910358148675936,2.0261098016438503,0.8442124173516043,0.979286404127861,4.254830583452086,4.052219603287701,0.1350739867762567,10.468233975159894,16.58033187678551,0.0
13115,Lo Barnechea,112620,17,31,8,11,29,22,2,96,200,0,1.5095009767359262,2.7526194281655125,0.7103534008169065,0.9767359261232463,2.575031077961286,1.9534718522464927,0.1775883502042266,8.524240809802876,17.758835020422662,0.0
13116,Lo Espejo,87295,9,38,0,2,22,1,0,383,215,2,1.0309868835557592,4.353055730568761,0.0,0.22910819634572427,2.5201901598029672,0.11455409817286213,0.0,43.8742196002062,24.62913110716536,0.22910819634572427
13117,Lo Prado,91290,10,31,0,9,9,2,6,404,216,0,1.0954102311315588,3.395771716507832,0.0,0.9858692080184028,0.9858692080184028,0.21908204622631175,0.6572461386789352,44.25457333771497,23.66086099244167,0.0
13118,Macul,123800,14,39,7,9,10,8,8,73,292,0,1.1308562197092085,3.1502423263327946,0.5654281098546042,0.7269789983844911,0.8077544426494346,0.6462035541195477,0.6462035541195477,5.896607431340873,23.58642972536349,0.0
13119,Maipú,503635,43,200,6,48,112,21,21,326,892,0,0.8537929254321086,3.9711298857307376,0.11913389657192214,0.9530711725753771,2.223832736009213,0.41696863800172745,0.41696863800172745,6.472941713741102,17.71123929035909,0.0
13504,María Pinto,15352,5,7,0,5,13,0,1,5,0,0,3.2569046378322044,4.559666492965086,0.0,3.2569046378322044,8.467952058363732,0.0,0.6513809275664408,3.2569046378322044,0.0,0.0
13501,Melipilla,136325,24,67,1,9,23,0,1,130,0,0,1.7604988079955988,4.914725838987713,0.07335411699981662,0.6601870529983495,1.6871446909957821,0.0,0.07335411699981662,9.53603520997616,0.0,0.0
13604,Padre Hurtado,81243,3,34,0,5,37,1,0,53,50,0,0.3692625826225029,4.184975936388366,0.0,0.6154376377041714,4.554238519010869,0.1230875275408343,0.0,6.523638959664217,6.154376377041714,0.0
13404,Paine,78828,12,39,0,0,0,0,4,74,0,2,1.5223017202009437,4.9474805906530674,0.0,0.0,0.0,0.0,0.507433906733648,9.387527274572486,0.0,0.253716953366824
13121,Pedro Aguirre Cerda,96062,13,50,0,7,14,4,7,164,185,2,1.3532926651537547,5.204971789052903,0.0,0.7286960504674065,1.457392100934813,0.4163977431242323,0.7286960504674065,17.072307468093523,19.258395619495744,0.20819887156211614
13605,Peñaflor,94402,13,56,0,11,30,1,2,3,0,0,1.3770894684434654,5.932077710218003,0.0,1.1652295502213936,3.1778987733310733,0.10592995911103578,0.21185991822207156,0.3177898773331074,0.0,0.0
13122,Peñalolén,236478,28,71,6,21,35,13,8,107,445,0,1.1840424902105058,3.002393457319497,0.2537233907593941,0.8880318676578794,1.4800531127631322,0.5497340133120207,0.3382978543458588,4.524733801875862,18.817818147988397,0.0
13202,Pirque,29060,7,11,1,4,0,2,0,1,0,0,2.4088093599449416,3.785271851342051,0.3441156228492774,1.3764624913971095,0.0,0.6882312456985548,0.0,0.3441156228492774,0.0,0.0
13123,Providencia,143974,103,45,75,25,133,64,0,79,316,0,7.154069484768083,3.125564338005473,5.209273896675788,1.7364246322252628,9.237779043438398,4.4452470584966735,0.0,5.4871018378318315,21.948407351327326,0.0
13124,Pudahuel,227820,27,63,0,16,57,5,6,72,552,0,1.18514616802739,2.7653410587305767,0.0,0.7023088403125274,2.501975243613379,0.21947151259766484,0.2633658151171978,3.1603897814063733,24.229654990782198,0.0
13201,Puente Alto,568086,46,195,5,34,129,18,37,192,1001,0,0.809736553972462,3.4325788701006537,0.0880148428230937,0.5985009311970371,2.270782944835817,0.31685343416313727,0.6513098368908933,3.379769964406798,17.62057153318336,0.0
13125,Quilicura,205624,18,60,0,14,100,3,12,69,421,0,0.8753841963973078,2.917947321324359,0.0,0.6808543749756838,4.863245535540599,0.14589736606621795,0.5835894642648718,3.355639419523013,20.47426370462592,0.0
13126,Quinta Normal,129351,9,71,0,10,32,5,18,120,282,0,0.6957812463761394,5.488940943633988,0.0,0.7730902737512659,2.4738888760040507,0.38654513687563297,1.3915624927522787,9.277083285015191,21.801145719785698,0.0
13127,Recoleta,154615,15,68,6,15,40,9,10,135,353,5,0.9701516670439478,4.398020890599231,0.38806066681757917,0.9701516670439478,2.587071112117194,0.5820910002263687,0.6467677780292985,8.731365003395531,22.83090256443424,0.32338388901464926
13128,Renca,143622,11,60,3,7,10,6,12,525,291,0,0.7658993747476013,4.177632953168735,0.20888164765843673,0.487390511203019,0.6962721588614558,0.41776329531687345,0.8355265906337469,36.55428834022643,20.261519822868365,0.0
13401,San Bernardo,306371,39,134,6,19,59,18,8,130,626,10,1.272966436118301,4.373782113842368,0.1958409901720463,0.6201631355448133,1.9257697366917885,0.5875229705161389,0.26112132022939505,4.243221453727671,20.432743307950165,0.3264016502867439
13129,San Joaquín,95602,13,40,10,5,18,10,8,81,247,0,1.3598041881968996,4.1840128867596915,1.0460032216899229,0.5230016108449614,1.882805799041861,1.0460032216899229,0.8368025773519382,8.472626095688375,25.83627957574109,0.0
13203,San José de Maipo,17441,5,11,0,4,3,2,0,12,0,0,2.866808095866063,6.306977810905337,0.0,2.29344647669285,1.7200848575196377,1.146723238346425,0.0,6.880339430078551,0.0,0.0
13130,San Miguel,150829,29,63,7,7,22,17,6,45,213,0,1.9227071716977504,4.1769155798951125,0.464101731099457,0.464101731099457,1.4586054405982936,1.1271042040986814,0.39780148379953456,2.9835111284965095,14.121952674883476,0.0
13505,San Pedro,11108,6,11,0,0,0,0,0,7,0,0,5.401512423478573,9.902772776377386,0.0,0.0,0.0,0.0,0.0,6.301764494058336,0.0,0.0
13131,San Ramón,76002,10,38,0,3,12,1,8,274,219,0,1.3157548485566168,4.999868424515145,0.0,0.3947264545669851,1.5789058182679403,0.1315754848556617,1.0526038788452936,36.05168285045131,28.81503118338991,0.0
13101,Santiago,438856,93,132,260,51,290,143,14,88,697,2,2.1191461436097487,3.00782033286545,5.9244945950380075,1.1621124013343784,6.6080901252347015,3.258472027270904,0.31901124742512355,2.005213555243633,15.882202818236506,0.04557303534644622
13601,Talagante,76429,13,50,1,8,6,9,1,119,0,0,1.7009250415418231,6.542019390545473,0.13084038781090948,1.0467231024872758,0.7850423268654568,1.177563490298185,0.13084038781090948,15.570006149498226,0.0,0.0
13303,Tiltil,19742,9,19,0,0,0,0,2,61,0,0,4.558808631344342,9.624151555060278,0.0,0.0,0.0,0.0,1.013068584743187,30.898591834667208,0.0,0.0
13132,Vitacura,86420,26,19,9,11,35,53,2,123,193,0,3.008562832677621,2.198565146956723,1.0414255959268688,1.2728535061328397,4.04998842860449,6.132839620458228,0.23142791020597084,14.232816477667207,22.332793334876186,0.0
13120,Ñuñoa,241467,34,80,32,21,104,36,10,96,408,0,1.4080599005247094,3.313082118881669,1.3252328475526676,0.8696840562064382,4.30700675454617,1.490886953496751,0.41413526486020863,3.975698542658003,16.896718806296512,0.0
